5							
#n	DRF4PFI791.PV	DRF4HFIC41.PV	DRF4HTI43.PVA	DKGUFAI502X.PV	DRF4UTI744.PVA  
  1.8663660e+002	  1.1006257e+002	  2.7204555e+002	  3.8080887e+004	 -7.9291921e-002	
  1.8264463e+002	  1.0996723e+002	  2.7206462e+002	  3.7505387e+004	  2.5754135e+000	
  1.7532648e+002	  1.0998390e+002	  2.7206073e+002	  3.7417690e+004	  1.6987897e+000	
  1.7717002e+002	  1.0990139e+002	  2.7205560e+002	  3.7881205e+004	 -1.5379492e-001	
  1.7810428e+002	  1.0987628e+002	  2.7205046e+002	  3.7933761e+004	 -2.4720289e+000	
  1.7960643e+002	  1.1005445e+002	  2.7204533e+002	  3.8047160e+004	 -3.8537804e+000	
  1.9509101e+002	  1.0995975e+002	  2.7204020e+002	  3.8023372e+004	 -4.2017307e+000	
  2.1763003e+002	  1.0992296e+002	  2.7203506e+002	  3.7933645e+004	 -4.3805095e+000	
  2.2039526e+002	  1.0986738e+002	  2.7202993e+002	  3.7831474e+004	 -4.4246030e+000	
  2.2362524e+002	  1.0982760e+002	  2.7202480e+002	  3.8177399e+004	 -4.4686965e+000	
  2.2556940e+002	  1.1005854e+002	  2.7201966e+002	  3.8442701e+004	 -4.5127900e+000	
  2.2429733e+002	  1.0994838e+002	  2.7201562e+002	  3.8030981e+004	 -4.5568834e+000	
  2.2217084e+002	  1.0992064e+002	  2.7201374e+002	  3.7386498e+004	 -4.5837893e+000	
  2.2410222e+002	  1.0986235e+002	  2.7201193e+002	  3.7521324e+004	 -4.5848983e+000	
  2.2325298e+002	  1.0967771e+002	  2.7201012e+002	  3.7421486e+004	 -4.5857535e+000	
  2.2483712e+002	  1.1014041e+002	  2.7200830e+002	  3.7490753e+004	 -4.5866086e+000	
  2.2284179e+002	  1.0997734e+002	  2.7200649e+002	  3.7268143e+004	 -4.5874637e+000	
  2.2526147e+002	  1.1001917e+002	  2.7200468e+002	  3.6890695e+004	 -4.5883188e+000	
  2.2449808e+002	  1.0992191e+002	  2.7200287e+002	  3.7125023e+004	 -4.5891740e+000	
  2.2558002e+002	  1.0985876e+002	  2.7200105e+002	  3.7180465e+004	 -4.5802627e+000	
  2.2669171e+002	  1.1001717e+002	  2.7199924e+002	  3.6959619e+004	 -4.3110271e+000	
  2.2616534e+002	  1.1012091e+002	  2.7196522e+002	  3.7157197e+004	 -3.9258402e+000	
  2.2716055e+002	  1.0992162e+002	  2.7186662e+002	  3.7676733e+004	 -3.5406533e+000	
  2.2685237e+002	  1.1001882e+002	  2.7176621e+002	  3.7790033e+004	 -3.1554664e+000	
  2.2729439e+002	  1.1005574e+002	  2.7166581e+002	  3.7604444e+004	 -2.7702795e+000	
  2.2755064e+002	  1.1006371e+002	  2.7156540e+002	  3.7258774e+004	 -2.3850925e+000	
  2.2804947e+002	  1.1000313e+002	  2.7146499e+002	  3.7361206e+004	 -2.0268897e+000	
  2.2203704e+002	  1.0926690e+002	  2.7133410e+002	  3.6796363e+004	 -2.0736998e+000	
  2.3089297e+002	  1.1017643e+002	  2.7098947e+002	  3.6504879e+004	 -2.2563580e+000	
  2.3300484e+002	  1.0995319e+002	  2.7085414e+002	  3.7199183e+004	 -2.4390161e+000	
  2.3749585e+002	  1.0982401e+002	  2.7074369e+002	  3.7564594e+004	 -2.6216742e+000	
  2.3555500e+002	  1.0985587e+002	  2.7063325e+002	  3.8045357e+004	 -2.8043324e+000	
  2.3372842e+002	  1.0970732e+002	  2.7052281e+002	  3.7622652e+004	 -2.9869905e+000	
  2.2043407e+002	  1.0427810e+002	  2.7041236e+002	  3.8125263e+004	 -3.1696486e+000	
  2.0599456e+002	  1.0019016e+002	  2.7032322e+002	  3.8063003e+004	 -3.3523068e+000	
  2.0540467e+002	  9.9967975e+001	  2.7027679e+002	  3.7370724e+004	 -3.5349649e+000	
  2.0584444e+002	  1.0007598e+002	  2.7023155e+002	  3.7029582e+004	 -3.7097795e+000	
  2.0571034e+002	  9.9923116e+001	  2.7018632e+002	  3.7272838e+004	 -3.7668774e+000	
  2.0620975e+002	  1.0009850e+002	  2.7014108e+002	  3.7027303e+004	 -3.7844930e+000	
  2.0593581e+002	  9.9985536e+001	  2.7009584e+002	  3.6418679e+004	 -3.8021085e+000	
  2.0717177e+002	  9.9903837e+001	  2.7005061e+002	  3.7013351e+004	 -3.8197240e+000	
  2.0562005e+002	  1.0008346e+002	  2.7000537e+002	  3.7280291e+004	 -3.8373396e+000	
  2.1399624e+002	  1.0319533e+002	  2.6996014e+002	  3.7303411e+004	 -3.8549551e+000	
  2.2062768e+002	  1.0499973e+002	  2.6998219e+002	  3.7141669e+004	 -3.8725706e+000	
  2.2143747e+002	  1.0509599e+002	  2.7010526e+002	  3.7189638e+004	 -3.8901862e+000	
  2.2188293e+002	  1.0494723e+002	  2.7022932e+002	  3.7668260e+004	 -3.8973446e+000	
  2.2380843e+002	  1.0690575e+002	  2.7035337e+002	  3.7852302e+004	 -3.8038162e+000	
  2.3471802e+002	  1.1172681e+002	  2.7048510e+002	  3.7575111e+004	 -3.6850454e+000	
  2.3094496e+002	  1.1202934e+002	  2.7063722e+002	  3.6758497e+004	 -3.5662746e+000	
  2.3345896e+002	  1.1198658e+002	  2.7079044e+002	  3.6492131e+004	 -3.4475039e+000	
  2.3319993e+002	  1.1243011e+002	  2.7094366e+002	  3.6405524e+004	 -3.3287331e+000	
  2.3999650e+002	  1.1466254e+002	  2.7109689e+002	  3.6576801e+004	 -3.2480486e+000	
  2.4012067e+002	  1.1487667e+002	  2.7125011e+002	  3.6532342e+004	 -3.3498360e+000	
  2.4152852e+002	  1.1487414e+002	  2.7140334e+002	  3.6575116e+004	 -3.4754676e+000	
  2.4361578e+002	  1.1499675e+002	  2.7155656e+002	  3.6763800e+004	 -3.6010993e+000	
  2.4795285e+002	  1.1493405e+002	  2.7170979e+002	  3.6945402e+004	 -3.7267310e+000	
  2.5189024e+002	  1.1497128e+002	  2.7186301e+002	  3.7492005e+004	 -3.8523626e+000	
  2.5077321e+002	  1.1516121e+002	  2.7194935e+002	  3.8088491e+004	 -3.9779943e+000	
  2.4998094e+002	  1.1495813e+002	  2.7190160e+002	  3.7626392e+004	 -4.1036259e+000	
  2.5035935e+002	  1.1503463e+002	  2.7185009e+002	  3.7718754e+004	 -4.2292576e+000	
  2.5167587e+002	  1.1504587e+002	  2.7179858e+002	  3.7480918e+004	 -4.3548893e+000	
  2.8155678e+002	  1.1506981e+002	  2.7174707e+002	  3.7421571e+004	 -4.5239582e+000	
  2.8702480e+002	  1.1502432e+002	  2.7169556e+002	  3.7286220e+004	 -4.8470628e+000	
  2.9198711e+002	  1.1503106e+002	  2.7164404e+002	  3.7400062e+004	 -5.1837186e+000	
  2.9466047e+002	  1.1512276e+002	  2.7159253e+002	  3.7230595e+004	 -5.5203745e+000	
  2.9779617e+002	  1.1501781e+002	  2.7154102e+002	  3.7341508e+004	 -5.8570303e+000	
  2.9902377e+002	  1.1502071e+002	  2.7148951e+002	  3.7603816e+004	 -6.1936862e+000	
  3.0085388e+002	  1.1501715e+002	  2.7145748e+002	  3.7346711e+004	 -6.1551697e+000	
  3.1538309e+002	  1.1489874e+002	  2.7144694e+002	  3.7673195e+004	 -5.3644772e+000	
  4.1923330e+002	  1.1504354e+002	  2.7143642e+002	  3.8268366e+004	 -4.5526833e+000	
  4.2489347e+002	  1.1509107e+002	  2.7142590e+002	  3.7912273e+004	 -3.7408893e+000	
  4.2421541e+002	  1.1490874e+002	  2.7141537e+002	  3.7624502e+004	 -2.9290954e+000	
  4.2768037e+002	  1.1490592e+002	  2.7140485e+002	  3.7917690e+004	 -2.1173015e+000	
  4.2764238e+002	  1.1498658e+002	  2.7139433e+002	  3.7797085e+004	 -1.3515781e+000	
  4.3342974e+002	  1.1500510e+002	  2.7138380e+002	  3.7673074e+004	 -1.0293554e+000	
  4.3123307e+002	  1.1503161e+002	  2.7137328e+002	  3.7725366e+004	 -8.1830151e-001	
  4.3371297e+002	  1.1497674e+002	  2.7136359e+002	  3.7479173e+004	 -6.0724760e-001	
  4.3749526e+002	  1.1508136e+002	  2.7137610e+002	  3.7056266e+004	 -3.9619368e-001	
  4.3838867e+002	  1.1500151e+002	  2.7139850e+002	  3.7964327e+004	 -1.8513977e-001	
  4.3713001e+002	  1.1494582e+002	  2.7142090e+002	  3.8270589e+004	  2.5914145e-002	
  4.3405647e+002	  1.1507853e+002	  2.7144330e+002	  3.9191850e+004	  2.3696806e-001	
  4.3265892e+002	  1.1497768e+002	  2.7146571e+002	  3.8412637e+004	  4.4802197e-001	
  4.3568824e+002	  1.1500140e+002	  2.7148811e+002	  3.8661361e+004	  6.5907589e-001	
  4.3893648e+002	  1.1503100e+002	  2.7151051e+002	  3.9409505e+004	  8.5778391e-001	
  4.3100383e+002	  1.1361632e+002	  2.7153291e+002	  3.8577482e+004	  9.7446483e-001	
  4.2151447e+002	  1.1198799e+002	  2.7155122e+002	  3.8746419e+004	  1.0760577e+000	
  4.2161563e+002	  1.1201256e+002	  2.7156134e+002	  3.8590274e+004	  1.1776505e+000	
  4.2166138e+002	  1.1196499e+002	  2.7157122e+002	  3.8535933e+004	  1.2792434e+000	
  4.2260863e+002	  1.1221790e+002	  2.7158111e+002	  3.9187790e+004	  1.3596983e+000	
  4.2356783e+002	  1.1201130e+002	  2.7159100e+002	  3.8792791e+004	  1.4084272e+000	
  4.2660971e+002	  1.1192111e+002	  2.7160089e+002	  3.9280347e+004	  1.4568440e+000	
  4.2539549e+002	  1.1195293e+002	  2.7161078e+002	  3.9180553e+004	  1.5052607e+000	
  4.2346845e+002	  1.1192599e+002	  2.7162066e+002	  3.7256486e+004	  1.5536774e+000	
  4.2300467e+002	  1.1202414e+002	  2.7163055e+002	  4.0665839e+004	  1.9652436e+000	
  4.1154410e+002	  1.1207247e+002	  2.7164044e+002	  4.0979902e+004	  3.6645566e+000	
  4.1558351e+002	  1.1200220e+002	  2.7163450e+002	  4.0261512e+004	  5.0957027e+000	
  4.1555519e+002	  1.1212443e+002	  2.7160481e+002	  4.0160169e+004	  5.9679154e+000	
  4.1006566e+002	  1.1122130e+002	  2.7157488e+002	  4.0099790e+004	  5.5107037e+000	
  4.0564331e+002	  1.1001160e+002	  2.7154495e+002	  3.9294881e+004	  4.7202933e+000	
  4.1139535e+002	  1.1003512e+002	  2.7151502e+002	  3.9313876e+004	  3.9298829e+000	
  4.1015845e+002	  1.0979386e+002	  2.7148509e+002	  3.9300015e+004	  3.1394725e+000	
  4.0395022e+002	  1.0991582e+002	  2.7145517e+002	  3.9751471e+004	  2.3490621e+000	
  4.0027252e+002	  1.0806210e+002	  2.7142524e+002	  3.9220520e+004	  1.5996702e+000	
  3.9554491e+002	  1.0795575e+002	  2.7139531e+002	  3.9882272e+004	  1.4658912e+000	
  3.8527381e+002	  1.0794111e+002	  2.7136538e+002	  4.0925527e+004	  1.5385896e+000	
  3.8572894e+002	  1.0820492e+002	  2.7130111e+002	  4.0601898e+004	  1.6112880e+000	
  3.9454026e+002	  1.0805632e+002	  2.7119895e+002	  3.9821729e+004	  1.6839865e+000	
  3.9234282e+002	  1.0799719e+002	  2.7109677e+002	  3.9654088e+004	  1.7566849e+000	
  3.9393257e+002	  1.0798915e+002	  2.7099458e+002	  3.9598325e+004	  1.8293833e+000	
  4.0219827e+002	  1.0795773e+002	  2.7089240e+002	  3.7889672e+004	  1.9020817e+000	
  4.1024277e+002	  1.0806064e+002	  2.7079021e+002	  3.7245864e+004	  1.9747801e+000	
  4.1214965e+002	  1.0798336e+002	  2.7068803e+002	  3.7596562e+004	  2.0474785e+000	
  4.0952055e+002	  1.0796877e+002	  2.7058584e+002	  3.7792961e+004	  2.1261034e+000	
  4.1287732e+002	  1.0790018e+002	  2.7048366e+002	  3.7587089e+004	  2.2617875e+000	
  4.1316713e+002	  1.0808422e+002	  2.7038424e+002	  3.7701955e+004	  2.4117759e+000	
  4.1291814e+002	  1.0801914e+002	  2.7045619e+002	  3.8066507e+004	  2.5617642e+000	
  4.1104248e+002	  1.0803382e+002	  2.7060396e+002	  3.8271802e+004	  2.7352475e+000	
  4.1406050e+002	  1.0796799e+002	  2.7070006e+002	  3.8174688e+004	  3.5348554e+000	
  4.1370645e+002	  1.0796260e+002	  2.7079471e+002	  3.8507867e+004	  4.6218277e+000	
  4.1327156e+002	  1.0802765e+002	  2.7088935e+002	  3.8291993e+004	  6.1792325e+000	
  4.1128566e+002	  1.0797331e+002	  2.7098400e+002	  3.8505645e+004	  6.5371139e+000	
  4.0840440e+002	  1.0794854e+002	  2.7107865e+002	  3.8527353e+004	  6.2216146e+000	
  4.0915359e+002	  1.0798247e+002	  2.7117330e+002	  3.9113151e+004	  5.9061153e+000	
  4.0866494e+002	  1.0797687e+002	  2.7126794e+002	  3.8834163e+004	  5.5906159e+000	
  4.0859094e+002	  1.0784986e+002	  2.7136259e+002	  3.9529963e+004	  5.2751166e+000	
  4.0695575e+002	  1.0799793e+002	  2.7145724e+002	  3.9181882e+004	  4.9596173e+000	
  4.0504497e+002	  1.0803539e+002	  2.7153428e+002	  4.0099530e+004	  4.6441180e+000	
  4.0008397e+002	  1.0789273e+002	  2.7157603e+002	  3.9200857e+004	  4.3815066e+000	
  4.0767615e+002	  1.0789661e+002	  2.7161678e+002	  3.9403824e+004	  4.2596735e+000	
  4.1702111e+002	  1.0811056e+002	  2.7165754e+002	  3.8721477e+004	  4.1454557e+000	
  4.1251128e+002	  1.0800261e+002	  2.7168772e+002	  3.8844439e+004	  4.0312379e+000	
  4.0228708e+002	  1.0790540e+002	  2.7166724e+002	  3.9614015e+004	  3.8738768e+000	
  4.0659565e+002	  1.0796723e+002	  2.7164013e+002	  3.8412541e+004	  3.5098427e+000	
  4.0526766e+002	  1.0810167e+002	  2.7161303e+002	  3.8391481e+004	  3.1188059e+000	
