5
#n DRF4PFI258.PV	DRF4UTI744.PVA	DRF4PFIC25.PV	DRF4HFIC41.PV	DKGUFAI502X.PV
 5.4240809e+000	 -3.1047957e+000	  7.9670714e+001	  1.0985610e+002	  3.4940160e+004	
  5.4084713e+000	 -3.0622480e+000	  7.9660801e+001	  1.1003318e+002	  3.4895845e+004	
  5.4340386e+000	 -3.0197002e+000	  7.9640752e+001	  1.0997746e+002	  3.4618716e+004	
  5.4597962e+000	 -2.9771524e+000	  7.9545957e+001	  1.0990372e+002	  3.4515940e+004	
  5.4491805e+000	 -2.9346047e+000	  7.9694334e+001	  1.1005694e+002	  3.4784887e+004	
  5.4348193e+000	 -2.8920569e+000	  7.9576958e+001	  1.1022206e+002	  3.4867534e+004	
  5.4140775e+000	 -2.8495091e+000	  7.9500934e+001	  1.1000170e+002	  3.4932122e+004	
  5.4294948e+000	 -2.7818554e+000	  7.9450348e+001	  1.0971546e+002	  3.5085175e+004	
  5.4035328e+000	 -2.4725125e+000	  7.9595312e+001	  1.0532534e+002	  3.4980576e+004	
  5.4031364e+000	 -2.1025865e+000	  7.9614648e+001	  1.0514502e+002	  3.5113642e+004	
  5.3801958e+000	 -1.7326604e+000	  7.9626719e+001	  1.0500415e+002	  3.5271478e+004	
  5.3576151e+000	 -1.3627344e+000	  7.9706030e+001	  1.0504542e+002	  3.5716106e+004	
  5.3739409e+000	 -9.9280836e-001	  7.9629903e+001	  1.0505606e+002	  3.5351380e+004	
  5.3832921e+000	 -6.2288231e-001	  7.9624532e+001	  1.0492771e+002	  3.5097193e+004	
  5.3564998e+000	 -2.5295626e-001	  7.9623990e+001	  1.0482103e+002	  3.4920638e+004	
  5.3610544e+000	 -1.7633190e-001	  7.9627113e+001	  1.0483527e+002	  3.5081419e+004	
  5.3350434e+000	 -5.3994521e-001	  7.9677928e+001	  1.0494638e+002	  3.5396507e+004	
  5.2740508e+000	 -9.0789185e-001	  7.9702270e+001	  1.0496106e+002	  3.6090891e+004	
