  1.0000000e+001	  1.0000000e+001	  0.0000000e+000	
  1.0000000e+001	  7.7694838e+000	  1.5766331e+001	
  1.0000000e+001	  6.2737434e+000	  2.7306672e+001	
  1.0000000e+001	  5.7964995e+000	  3.2296756e+001	
  1.0000000e+001	  6.0492933e+000	  3.2333653e+001	
  1.0000000e+001	  6.5615319e+000	  3.0426993e+001	
  1.0000000e+001	  7.0073647e+000	  2.8767478e+001	
  1.0000000e+001	  7.2841297e+000	  2.8109580e+001	
  1.0000000e+001	  7.4308276e+000	  2.8250978e+001	
  1.0000000e+001	  7.5236786e+000	  2.8709344e+001	
  1.0000000e+001	  7.6165228e+000	  2.9127473e+001	
  1.0000000e+001	  7.7277354e+000	  2.9375484e+001	
  1.0000000e+001	  7.8527457e+000	  2.9477714e+001	
  1.0000000e+001	  7.9792985e+000	  2.9514803e+001	
  1.0000000e+001	  8.0985839e+000	  2.9548355e+001	
  1.0000000e+001	  8.2076005e+000	  2.9602737e+001	
  1.0000000e+001	  8.3073707e+000	  2.9675178e+001	
  1.0000000e+001	  8.4002190e+000	  2.9753259e+001	
  1.0000000e+001	  8.4880026e+000	  2.9826856e+001	
  1.5000000e+001	  8.5716034e+000	  6.5234270e+001	
  1.5000000e+001	  1.0102618e+001	  5.7201417e+001	
  1.5000000e+001	  1.2427464e+001	  4.2893129e+001	
  1.5000000e+001	  1.3967634e+001	  3.3122628e+001	
  1.5000000e+001	  1.4435153e+001	  3.0265896e+001	
  1.5000000e+001	  1.4246681e+001	  3.1843171e+001	
  1.5000000e+001	  1.3907154e+001	  3.4569950e+001	
  1.5000000e+001	  1.3705691e+001	  3.6468136e+001	
  1.5000000e+001	  1.3696675e+001	  3.7093419e+001	
  1.5000000e+001	  1.3810105e+001	  3.6857115e+001	
  1.5000000e+001	  1.3950558e+001	  3.6380587e+001	
  1.5000000e+001	  1.4061684e+001	  3.6050414e+001	
  1.5000000e+001	  1.4132371e+001	  3.5957866e+001	
  1.5000000e+001	  1.4176046e+001	  3.6025588e+001	
  1.5000000e+001	  1.4210732e+001	  3.6137901e+001	
  1.5000000e+001	  1.4247201e+001	  3.6222558e+001	
  1.5000000e+001	  1.4287912e+001	  3.6261405e+001	
  1.5000000e+001	  1.4330575e+001	  3.6268794e+001	
