%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=214956, 2012/10/24 16:34:53.56)
1 7 5.521912e-01 1.276908e+00 -7.226190766081587200e-01 -7.226190766081587200e-01 -7.176929810563194000e-01 -7.175153919342026600e-01
2 13 6.810150e-01 1.690684e+00 -7.275639502881701100e-01 -7.275639502881701100e-01 -7.199114527651620000e-01 -7.175153919342026600e-01
3 19 7.982094e-01 1.470605e+00 -7.276683437778467300e-01 -7.276683437778467300e-01 -7.182018457991603500e-01 -7.176929810563194000e-01
4 25 7.192438e-01 1.495437e+00 -7.367446407740487800e-01 -7.367446407740487800e-01 -7.190068669382658800e-01 -7.177514721649073100e-01
5 31 7.797178e-01 1.729022e+00 -7.367446407740487800e-01 -7.336684532448659600e-01 -7.232675609064946900e-01 -7.176228761415419700e-01
6 37 6.454313e-01 1.733228e+00 -7.394753067272517000e-01 -7.394753067272517000e-01 -7.228427919833897400e-01 -7.193332012193753800e-01
7 43 5.471065e-01 1.709000e+00 -7.493682940844462700e-01 -7.493682940844462700e-01 -7.233622150414282800e-01 -7.181279499988296700e-01
8 49 4.222242e-01 1.732859e+00 -8.060522752863373800e-01 -8.060522752863373800e-01 -7.554936706615451600e-01 -7.178309482258875600e-01
9 55 3.889541e-01 1.721817e+00 -8.060522752863373800e-01 -7.693904122433101700e-01 -7.394418356540537500e-01 -7.293295489098879900e-01
10 61 3.332375e-01 1.751228e+00 -8.060522752863373800e-01 -7.747168787086772300e-01 -7.636768791755319500e-01 -7.366958089014248300e-01
11 67 3.436611e-01 2.018133e+00 -8.060522752863373800e-01 -8.041867797602870700e-01 -7.516676687170778000e-01 -7.262530612563939900e-01
